;Name;wikiQLabel;wikiQ;instance
0;Carà del'Ugo;Cara Ugo;;
0;Via Plaun Uaul;Plaun Uaul;;
0;Via Bos-chetta;Bos chetta;;
0;Unteri Jansegg;Unteri Jansegg;;
0;Via Las Rueras;Las Rueras;;
0;Kapely-Wald;Kapely Wald;;
0;Plazza da la Staziun;Plazza Staziun;;
0;Via Cons-Casti;Cons Casti;;
0;Schombrina Sot;Schombrina Sot;;
0;Punts d'Alp;Punts Alp;;
0;Veia Alp Ozur;Alp Ozur;;
0;Viglia veia Gelgia;Viglia Gelgia;;
0;S-chadatsch;S chadatsch;;
0;Allmeini Hütten;Allmeini Hütten;;
0;Bot da Mulegn;Bot Mulegn;;
0;Archas Sura;Archas Sura;;
0;Via Sogn Giacun;Sogn Giacun;;
