;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;givenname;familyname;sex;birth;death;placebirth;placedeath;image
32210;10058078;Siedlungs;;;;;;;;;;
32211;10058080;Trimstein;;;;;;;;;;
32212;10058081;Waldegg;;;;;;;;;;
32213;10058082;Wattenwil;;;;;;;;;;
32214;10058083;Wyden;http://www.wikidata.org/entity/Q2034169;Oskar von Wydenbrugk;Oskar;;männlich;1815-10-07T00:00:00Z;1876-06-09T00:00:00Z;http://www.wikidata.org/entity/Q556800;http://www.wikidata.org/entity/Q509310;
32215;10058084;Buhlenberg;;;;;;;;;;
32216;10058085;Furth;http://www.wikidata.org/entity/Q704053;Jules Furthman;Jules;Furthman;männlich;1888-03-05T00:00:00Z;1966-09-22T00:00:00Z;http://www.wikidata.org/entity/Q1297;http://www.wikidata.org/entity/Q34217;
32217;10058086;Lehn;http://www.wikidata.org/entity/Q68386;Heinrich von Lehndorff-Steinort;Heinrich;;männlich;1909-06-22T00:00:00Z;1944-09-04T00:00:00Z;http://www.wikidata.org/entity/Q1715;http://www.wikidata.org/entity/Q693653;
32218;10058087;Meien;http://www.wikidata.org/entity/Q2159223;Robert Wohlleben;Robert;;männlich;1937-07-15T00:00:00Z;;http://www.wikidata.org/entity/Q1820;;
32219;10058088;Sytli;;;;;;;;;;
32220;10058092;Bahnhof;;;;;;;;;;
32221;10058093;Kirch;http://www.wikidata.org/entity/Q102281568;Kirch;;;männlich;;;;;
32222;10058094;Schlossmatt;;;;;;;;;;
32223;10058100;Haselhof;;;;;;;;;;
32224;10058101;Jerisberghof;;;;;;;;;;
32225;10058103;Chrützacher;;;;;;;;;;
32226;10058109;Simmental;;;;;;;;;;
32227;10058110;Alpen;;;;;;;;;;
32228;10058111;Beatus;http://www.wikidata.org/entity/Q30578;Urban II.;Urbanus;;männlich;1035-01-01T00:00:00Z;1099-01-01T00:00:00Z;http://www.wikidata.org/entity/Q688485;http://www.wikidata.org/entity/Q220;
32229;10058112;Bühlen;;;;;;;;;;
32230;10058113;Chalet;http://www.wikidata.org/entity/Q98675056;Q98675056;;;;;;;;
32231;10058115;Eiger;http://www.wikidata.org/entity/Q275899;Egeria;;;weiblich;0400-01-01T00:00:00Z;http://www.wikidata.org/.well-known/genid/f7c8415560190dbf1cd4bdeba3d63b48;http://www.wikidata.org/entity/Q369692;;
32232;10058116;Ey;http://www.wikidata.org/entity/Q58632;Hans Jürgen Eysenck;Hans;Eysenck;männlich;1916-03-04T00:00:00Z;1997-09-04T00:00:00Z;http://www.wikidata.org/entity/Q64;http://www.wikidata.org/entity/Q84;
32233;10058117;Frutigen;;;;;;;;;;
32234;10058118;Harschlismatt;;;;;;;;;;
32235;10058119;Hasel;http://www.wikidata.org/entity/Q2893979;Pablo Hasél;Pablo;Rivadulla;männlich;1988-08-09T00:00:00Z;;http://www.wikidata.org/entity/Q15090;;
32236;10058120;Haupt;http://www.wikidata.org/entity/Q21515586;Arthur Wing Haupt;Arthur;;männlich;1874-01-01T00:00:00Z;;;;
32237;10058121;Hondrich;http://www.wikidata.org/entity/Q1732534;Karl Otto Hondrich;Karl;;männlich;1937-09-01T00:00:00Z;2007-01-16T00:00:00Z;http://www.wikidata.org/entity/Q490058;http://www.wikidata.org/entity/Q1794;
32238;10058122;Jucharten;;;;;;;;;;
32239;10058123;Katzacher;;;;;;;;;;
32240;10058124;Kirschgarten;;;;;;;;;;
32241;10058125;Bahnhof;;;;;;;;;;
32242;10058126;Quellenhof;;;;;;;;;;
32243;10058127;Rütti;http://www.wikidata.org/entity/Q97351;Barbara Rütting;Barbara;Q43560636;weiblich;1927-11-21T00:00:00Z;2020-03-28T00:00:00Z;http://www.wikidata.org/entity/Q2569694;http://www.wikidata.org/entity/Q506528;
32244;10058128;Schlüsselmatten;;;;;;;;;;
32245;10058129;Sodmatt;;;;;;;;;;
32246;10058130;Sonnenfels;http://www.wikidata.org/entity/Q215122;Joseph von Sonnenfels;Joseph;;männlich;1732-01-01T00:00:00Z;1817-04-25T00:00:00Z;http://www.wikidata.org/entity/Q682544;http://www.wikidata.org/entity/Q1741;
32247;10058131;Spiez;;;;;;;;;;
32248;10058132;Talboden;;;;;;;;;;
32249;10058133;Vor dem Berg;;;;;;;;;;
